,timestamp,temperature
0,2022-04-13 10:00:00+00:00,15.2
1,2022-04-13 11:00:00+00:00,16.13
2,2022-04-13 12:00:00+00:00,17.11
3,2022-04-13 13:00:00+00:00,17.69
4,2022-04-13 14:00:00+00:00,17.95
5,2022-04-13 15:00:00+00:00,17.97
6,2022-04-13 16:00:00+00:00,17.87
7,2022-04-13 17:00:00+00:00,16.9
8,2022-04-13 18:00:00+00:00,16.49
9,2022-04-13 19:00:00+00:00,15.74
10,2022-04-13 20:00:00+00:00,14.67
11,2022-04-13 21:00:00+00:00,13.32
12,2022-04-13 22:00:00+00:00,12.02
13,2022-04-13 23:00:00+00:00,10.56
14,2022-04-14 00:00:00+00:00,9.36
15,2022-04-14 01:00:00+00:00,8.56
16,2022-04-14 02:00:00+00:00,7.34
17,2022-04-14 03:00:00+00:00,6.09
18,2022-04-14 04:00:00+00:00,5.04
19,2022-04-14 05:00:00+00:00,5.08
20,2022-04-14 06:00:00+00:00,6.22
21,2022-04-14 07:00:00+00:00,10.26
22,2022-04-14 08:00:00+00:00,13.38
23,2022-04-14 09:00:00+00:00,14.91
24,2022-04-14 10:00:00+00:00,16.03
25,2022-04-14 11:00:00+00:00,16.67
26,2022-04-14 12:00:00+00:00,17.73
27,2022-04-14 13:00:00+00:00,18.27
28,2022-04-14 14:00:00+00:00,18.03
29,2022-04-14 15:00:00+00:00,17.83
30,2022-04-14 16:00:00+00:00,17.76
31,2022-04-14 17:00:00+00:00,17.3
32,2022-04-14 18:00:00+00:00,16.18
33,2022-04-14 19:00:00+00:00,15.32
34,2022-04-14 20:00:00+00:00,14.49
35,2022-04-14 21:00:00+00:00,13.25
36,2022-04-14 22:00:00+00:00,11.8
37,2022-04-14 23:00:00+00:00,11.47
38,2022-04-15 00:00:00+00:00,9.71
39,2022-04-15 01:00:00+00:00,8.98
40,2022-04-15 02:00:00+00:00,8.13
41,2022-04-15 03:00:00+00:00,7.2
42,2022-04-15 04:00:00+00:00,6.61
43,2022-04-15 05:00:00+00:00,6.09
44,2022-04-15 06:00:00+00:00,6.99
45,2022-04-15 07:00:00+00:00,10.81
46,2022-04-15 08:00:00+00:00,13.01
